NIS, CHI_2 
6.95324e-310, 5.991 
112.725, 7.815
6.95327e-310, 5.991 
177.963, 7.815
0, 5.991 
4.03804, 7.815
0.0666356, 5.991 
55.597, 7.815
2.12095, 5.991 
75.8137, 7.815
0.49623, 5.991 
5.4088, 7.815
4.94991, 5.991 
21.2847, 7.815
2.37508, 5.991 
27.862, 7.815
4.72985, 5.991 
2.02266, 7.815
3.46686, 5.991 
9.0914, 7.815
3.03624, 5.991 
14.0233, 7.815
3.00393, 5.991 
1.8691, 7.815
4.01641, 5.991 
12.2294, 7.815
5.36717, 5.991 
16.7444, 7.815
4.1532, 5.991 
3.29373, 7.815
0.883754, 5.991 
3.9262, 7.815
2.25269, 5.991 
5.11656, 7.815
1.30484, 5.991 
3.60855, 7.815
2.40644, 5.991 
6.24053, 7.815
0.577769, 5.991 
8.67635, 7.815
1.10455, 5.991 
2.37551, 7.815
0.52498, 5.991 
4.85017, 7.815
0.831657, 5.991 
6.90036, 7.815
0.543821, 5.991 
5.2706, 7.815
2.83808, 5.991 
0.999182, 7.815
2.11639, 5.991 
0.673059, 7.815
2.87903, 5.991 
2.00066, 7.815
3.77186, 5.991 
4.15261, 7.815
3.29153, 5.991 
4.32417, 7.815
2.45835, 5.991 
4.63841, 7.815
2.62517, 5.991 
2.13573, 7.815
1.29449, 5.991 
0.918456, 7.815
1.06727, 5.991 
1.92923, 7.815
0.16288, 5.991 
2.15428, 7.815
0.771295, 5.991 
1.03739, 7.815
0.379666, 5.991 
1.18121, 7.815
1.49118, 5.991 
2.89375, 7.815
0.386327, 5.991 
2.13551, 7.815
0.883658, 5.991 
1.96607, 7.815
0.374273, 5.991 
4.22459, 7.815
0.119624, 5.991 
4.18376, 7.815
0.355738, 5.991 
5.83672, 7.815
0.174332, 5.991 
5.99064, 7.815
0.386654, 5.991 
7.38275, 7.815
0.0230135, 5.991 
2.46203, 7.815
4.38429, 5.991 
8.25314, 7.815
4.07065, 5.991 
8.71909, 7.815
3.94708, 5.991 
9.62028, 7.815
3.28481, 5.991 
0.984007, 7.815
3.39975, 5.991 
0.934806, 7.815
3.22786, 5.991 
1.54566, 7.815
1.2486, 5.991 
3.95677, 7.815
0.558369, 5.991 
4.88076, 7.815
0.863553, 5.991 
3.51291, 7.815
1.9374, 5.991 
1.97898, 7.815
1.24875, 5.991 
1.22792, 7.815
2.64524, 5.991 
1.87478, 7.815
1.04319, 5.991 
2.76881, 7.815
1.87532, 5.991 
3.35, 7.815
1.61449, 5.991 
2.91371, 7.815
1.4326, 5.991 
1.25992, 7.815
1.82774, 5.991 
1.16827, 7.815
0.656776, 5.991 
1.70158, 7.815
0.746806, 5.991 
0.787139, 7.815
0.137065, 5.991 
0.757441, 7.815
1.03363, 5.991 
1.77707, 7.815
1.29851, 5.991 
1.60969, 7.815
0.443641, 5.991 
1.76315, 7.815
1.89423, 5.991 
2.98597, 7.815
4.64936, 5.991 
0.26514, 7.815
6.18571, 5.991 
0.0682787, 7.815
4.49696, 5.991 
1.70998, 7.815
0.293049, 5.991 
3.42395, 7.815
0.411993, 5.991 
3.20955, 7.815
0.242158, 5.991 
4.20197, 7.815
2.1886, 5.991 
3.32188, 7.815
1.89642, 5.991 
5.59673, 7.815
2.87767, 5.991 
2.00141, 7.815
0.104793, 5.991 
2.90979, 7.815
0.10078, 5.991 
4.26305, 7.815
0.384807, 5.991 
3.32715, 7.815
1.79367, 5.991 
1.62693, 7.815
0.886455, 5.991 
2.10135, 7.815
0.421229, 5.991 
3.10264, 7.815
4.95284, 5.991 
0.702792, 7.815
3.85505, 5.991 
0.274046, 7.815
3.4192, 5.991 
1.84904, 7.815
0.522795, 5.991 
2.81511, 7.815
0.388455, 5.991 
3.24226, 7.815
0.315785, 5.991 
3.84302, 7.815
4.22425, 5.991 
1.62728, 7.815
2.99837, 5.991 
1.25717, 7.815
2.62373, 5.991 
1.22443, 7.815
1.47796, 5.991 
1.73519, 7.815
1.00861, 5.991 
0.895072, 7.815
1.18125, 5.991 
2.0097, 7.815
2.12957, 5.991 
3.95073, 7.815
3.36611, 5.991 
4.19089, 7.815
3.42751, 5.991 
7.58551, 7.815
0.890878, 5.991 
3.75173, 7.815
0.284213, 5.991 
2.49311, 7.815
0.185742, 5.991 
3.82528, 7.815
1.1086, 5.991 
5.37961, 7.815
0.671342, 5.991 
6.10854, 7.815
0.776437, 5.991 
3.35679, 7.815
0.653143, 5.991 
6.49566, 7.815
1.87206, 5.991 
9.33543, 7.815
1.85342, 5.991 
6.50405, 7.815
1.28462, 5.991 
2.16069, 7.815
3.41866, 5.991 
0.5169, 7.815
3.1248, 5.991 
1.05251, 7.815
2.62119, 5.991 
1.59204, 7.815
4.36538, 5.991 
1.51006, 7.815
4.46941, 5.991 
5.05145, 7.815
0.968152, 5.991 
2.73035, 7.815
0.441317, 5.991 
2.02129, 7.815
1.26061, 5.991 
6.38344, 7.815
